Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
45,2.0,0.0,156.0,5.0,17.0,1026.0,0.0,22.005000010000007,22.005000010000007,0.0,148.6826639175415,,,,,,,,,,,,,,,,7.742972380359333,7.634135771833755,21.895264744278172,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,172.0,6.0,16.0,1042.0,0.0,20.005000010000007,20.005000010000007,0.0,150.6054527759552,,,,,,,,,,,,,,,,6.8584541076144045,6.972961854354422,19.915179924202377,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,193.0,7.0,21.0,1063.0,0.0,26.00700001000001,26.00700001000001,0.0,152.67507433891296,,,,,,,,,,,,,,,,8.637716055981743,8.949616676444498,25.851459432256647,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,212.0,8.0,19.0,1082.0,0.0,24.006000010000008,24.006000010000008,0.0,154.48722553253174,,,,,,,,,,,,,,,,8.185355145705929,8.294627283879917,23.87435261484644,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,235.0,9.0,23.0,1105.0,0.0,36.00400000999999,36.00400000999999,0.0,156.68698072433472,,,,,,,,,,,,,,,,14.789170955769723,11.979042438151202,35.69954862664394,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,253.0,10.0,18.0,1123.0,0.0,24.005000010000007,24.005000010000007,0.0,158.53095197677612,,,,,,,,,,,,,,,,8.639105552535698,8.288195150545851,23.873369479533896,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,282.0,11.0,29.0,1152.0,0.0,44.00600000999999,44.00600000999999,0.0,161.09876418113708,,,,,,,,,,,,,,,,17.331957758643025,14.663894196717619,43.54692015515451,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,302.0,12.0,20.0,1172.0,0.0,28.005000010000007,28.005000010000007,0.0,163.28866243362427,,,,,,,,,,,,,,,,10.458852133482061,9.57734260080909,27.82364661394431,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,333.0,13.0,31.0,1203.0,0.0,54.003000009999994,54.003000009999994,0.0,165.95055770874023,,,,,,,,,,,,,,,,24.17982407791097,17.097874131883326,53.30673219578056,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,359.0,14.0,26.0,1229.0,0.0,40.00500000999999,40.00500000999999,0.0,168.3322718143463,,,,,,,,,,,,,,,,16.056371868723698,13.32670565871723,39.627161502916096,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,374.0,15.0,15.0,1244.0,0.0,18.005000010000007,18.005000010000007,0.0,169.91154384613037,,,,,,,,,,,,,,,,5.988005719841872,6.304029702607256,17.933113037239615,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,408.0,16.0,34.0,1278.0,0.0,56.00500000999999,56.00500000999999,0.0,172.8103802204132,,,,,,,,,,,,,,,,23.67329288934534,18.14053215548086,55.255363415177456,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,440.0,17.0,32.0,1310.0,0.0,54.00400000999999,54.00400000999999,0.0,175.59488081932068,,,,,,,,,,,,,,,,23.42515893401996,17.346547088411764,53.30770262673812,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,466.0,18.0,26.0,1336.0,0.0,42.00400000999999,42.00400000999999,0.0,177.97328305244446,,,,,,,,,,,,,,,,17.65490482051425,13.79122703063194,41.58655904371034,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,482.0,19.0,16.0,1352.0,0.0,18.006000010000008,18.006000010000008,0.0,179.97852849960327,,,,,,,,,,,,,,,,5.614686328819822,6.273642455187413,17.934099127866755,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,540.0,20.0,58.0,1410.0,0.0,104.00500001000002,104.00500001000002,0.0,184.52938294410706,,,,,,,,,,,,,,,,46.724063044002655,31.91941947047161,101.39640075420205,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,26.0,1.0,26.0,1436.0,0.0,38.00600000999999,38.00600000999999,0.0,224.24857378005981,,,,,,,,,,,,,,,,14.533200360809845,12.799460272508398,37.66580260322216,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,70.0,2.0,44.0,1480.0,0.0,80.00300001000001,80.00300001000001,0.0,227.80110716819763,,,,,,,,,,,,,,,,36.79555683476388,24.51459355483038,78.46245796723765,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,96.0,3.0,26.0,1506.0,0.0,38.00600000999999,38.00600000999999,0.0,230.20070052146912,,,,,,,,,,,,,,,,14.533200360809845,12.799460272508398,37.66580260322216,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,127.0,4.0,31.0,1537.0,0.0,46.007000009999985,46.007000009999985,0.0,232.9453592300415,,,,,,,,,,,,,,,,17.682571525099625,15.372919647717957,45.50434463735928,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,142.0,5.0,15.0,1552.0,0.0,20.004000010000006,20.004000010000006,0.0,234.87349486351013,,,,,,,,,,,,,,,,7.314691350556093,6.965542513888283,19.914193833575236,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,154.0,6.0,12.0,1564.0,0.0,16.003000010000004,16.003000010000004,0.0,236.33476400375366,,,,,,,,,,,,,,,,5.9885096863204135,5.640084577030148,15.9470849787429,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,171.0,7.0,17.0,1581.0,0.0,24.004000010000006,24.004000010000006,0.0,238.19280743598938,,,,,,,,,,,,,,,,9.146296191657942,8.251460356633391,23.87238536010192,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,185.0,8.0,14.0,1595.0,0.0,18.004000010000006,18.004000010000006,0.0,239.79430961608887,,,,,,,,,,,,,,,,6.414726887483299,6.311526702250279,17.932125959534773,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,213.0,9.0,28.0,1623.0,0.0,46.00400000999999,46.00400000999999,0.0,242.32204961776733,,,,,,,,,,,,,,,,19.57406876179354,14.985399586412944,45.50142751218197,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
